"","key","fscorea","fscoreb","fscorea_fscoreb","fscoreb_fscorea","away_win","home_win","teamaspread","overunder","teambspread","teama_vegas_fscore","teamb_vegas_fscore","scorea","scoreb","timeleft","teama","teamb","scorea_scoreb","date","scoreb_scorea","pct_complete","pct_left","cf1","cf2","teama_adj_fscore","teamb_adj_fscore","pfscoreb_pfscorea"
"1","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,42,52,25.2,"cha","tor",-10,2016-04-05,10,47.5,52.5,6.88428390821514,0.142862044728714,93.58125,105.68125,12.1
"2","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,58,20.9333333333,"cha","tor",-14,2016-04-05,14,56.3888888889583,43.6111111110417,10.5695920509879,0.254525837592147,86.8479166665984,102.59236111104,15.7444444444417
"3","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,28,35.1333333333,"cha","tor",-9,2016-04-05,9,26.805555555625,73.194444444375,5.25089143069728,0.0834844712976011,90.9135416665984,102.841319444373,11.927777777775
"4","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,35,41,28.1833333333,"cha","tor",-6,2016-04-05,6,41.2847222222917,58.7152777777083,3.90681710346041,0.0741176275854847,92.6877604165984,101.036371527707,8.34861111110833
"5","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,40,52,25.5,"cha","tor",-12,2016-04-05,12,46.875,53.125,8.21263092994986,0.168818137902252,92.1953125,106.3203125,14.125
"6","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,12,43.3,"cha","tor",-3,2016-04-05,3,9.79166666666667,90.2083333333333,1.57712809443469,0.0212087187621826,97.6296875,104.238020833333,6.60833333333333
"7","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,22,32,33.4833333333,"cha","tor",-10,2016-04-05,10,30.243055555625,69.756944444375,5.97584663306234,0.0987446244553395,90.5361979165985,103.326475694373,12.790277777775
"8","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,6,6,45.8166666667,"cha","tor",0,2016-04-05,0,4.54861111104166,95.4513888889583,0,0,99.7809895834016,103.59904513896,3.81805555555833
"9","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,52,69,15.4166666667,"cha","tor",-17,2016-04-05,17,67.881944444375,32.118055555625,14.9403447950685,0.459898972658565,83.5559895834016,101.840711805627,18.284722222225
"10","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,74,88,3.51666666667,"cha","tor",-14,2016-04-05,14,92.6736111111042,7.32638888889583,25.4312033630086,2.57971032119878,81.1981770833402,95.491232638896,14.2930555555558
"11","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,44,58,21.1833333333,"cha","tor",-14,2016-04-05,14,55.868055555625,44.131944444375,10.5073906082044,0.250629533108535,87.3596354165984,103.124913194373,15.765277777775
"12","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,42,54,24.5833333333,"cha","tor",-12,2016-04-05,12,48.7847222222917,51.2152777777083,8.36361609676703,0.177043675338204,92.3190104165984,106.367621527707,14.0486111111083
"13","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,11,14,41.0833333333,"cha","tor",-3,2016-04-05,3,14.4097222222917,85.5902777777083,1.61899572463335,0.0227078789803505,95.0924479165984,101.516059027707,6.42361111110833
"14","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,13,18,39.45,"cha","tor",-5,2016-04-05,5,17.8125,82.1875,2.75345258488777,0.0398955195549833,93.74921875,102.03671875,8.28750000000001
"15","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,68,79,6.78333333333,"cha","tor",-11,2016-04-05,11,85.8680555555625,14.1319444444375,14.5028677295421,0.864312372688629,81.8846354166598,93.4499131944373,11.5652777777775
"16","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,38.4833333333,"cha","tor",-3,2016-04-05,3,19.8263888889583,80.1736111110417,1.67262842998107,0.0247217122931614,93.7705729165985,99.9775173610401,6.20694444444166
"17","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,70,81,6.01666666667,"cha","tor",-11,2016-04-05,11,87.4652777777708,12.5347222222292,15.3821499716748,1.00990945648085,82.3153645833402,93.8167534722293,11.5013888888892
"18","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,35,41,28.3333333333,"cha","tor",-6,2016-04-05,6,40.9722222222917,59.0277777777083,3.89650553559965,0.0736081019988436,92.9947916665984,101.355902777707,8.36111111110833
"19","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,22,36.9666666667,"cha","tor",-6,2016-04-05,6,22.9861111110417,77.0138888889583,3.4129739459657,0.05209593956576,91.6661458334016,100.74670138896,9.08055555555833
"20","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,90,96,0.0333333333333,"cha","tor",-6,2016-04-05,6,99.9305555555556,0.0694444444443718,53.079104215769,340.777460768968,90.0682291666666,96.0710069444444,6.00277777777778
"21","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,6,4,46.5,"cha","tor",2,2016-04-05,-2,3.125,96.875,-1.01469257886368,-0.0128877532619069,101.1796875,103.0546875,1.875
"22","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,39.15,"cha","tor",-3,2016-04-05,3,18.4375,81.5625,1.65836997846835,0.0241759827191542,95.13515625,101.39765625,6.2625
"23","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,61,75,11.4333333333,"cha","tor",-14,2016-04-05,14,76.180555555625,23.819444444375,14.2680626253055,0.558447126444434,84.4026041665984,99.3553819443734,14.952777777775
"24","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,20,37.9166666667,"cha","tor",-5,2016-04-05,5,21.006944444375,78.993055555625,2.80840283024366,0.0420049512159782,92.6106770834016,100.770399305627,8.159722222225
